player,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017-13,2017-14,2017-15,2017-16,2017-17,season_total,week_avg,week_std,team,position
T.Gurley,20.6,26.6,37.9,34.5,5.0,13.000000000000002,25.400000000000002,0.0,24.4,19.6,14.6,16.8,21.8,28.5,45.0,49.599999999999994,0.0,383.3,22.54705882352941,14.148812567096346,LA,RB
L.Bell,7.7,13.100000000000001,21.8,34.599999999999994,19.3,28.1,22.200000000000003,14.100000000000001,0.0,16.2,21.1,28.3,29.200000000000003,39.5,27.500000000000004,20.700000000000003,0.0,343.4,20.2,10.973092089288233,PIT,RB
A.Kamara,7.8,8.400000000000002,13.2,25.6,0.0,12.7,15.7,16.6,31.2,24.8,25.599999999999998,36.800000000000004,29.6,5.7,20.9,16.0,24.8,315.40000000000003,18.55294117647059,10.022856232572806,NO,RB
C.Newton,13.14,11.82,8.28,33.04,26.200000000000003,20.66,7.4399999999999995,12.56,20.08,35.66,0.0,17.52,20.42,14.48,31.48,15.600000000000001,11.100000000000001,299.48,17.616470588235295,9.647453641490374,CAR,QB
R.Wilson,8.32,7.66,16.759999999999998,27.6,11.52,0.0,26.36,35.08,23.580000000000002,19.42,15.46,23.62,24.18,21.84,11.58,14.620000000000001,10.219999999999999,297.82000000000005,17.51882352941177,8.857489685537983,SEA,QB
T.Brady,10.68,30.779999999999998,35.72,20.48,12.620000000000001,16.18,18.46,17.52,0.0,22.64,25.560000000000002,20.68,8.32,9.32,15.72,15.56,15.600000000000001,295.84000000000003,17.402352941176474,8.512889880507505,NE,QB
K.Hunt,45.6,25.900000000000002,25.3,16.1,14.600000000000001,16.0,15.700000000000001,9.8,10.100000000000001,0.0,10.700000000000001,3.6,9.3,22.8,39.6,20.6,9.5,295.20000000000005,17.364705882352943,11.868179155649289,KC,RB
M.Gordon,18.9,20.8,13.9,3.9000000000000004,34.3,36.0,5.4,20.900000000000002,0.0,9.2,14.0,11.8,14.600000000000001,15.3,28.9,21.8,18.4,288.09999999999997,16.94705882352941,9.907138691813268,LAC,RB
K.Allen,14.5,19.0,11.100000000000001,18.8,10.7,9.5,7.1000000000000005,10.100000000000001,0.0,9.4,40.199999999999996,34.2,26.5,17.1,10.4,11.3,34.3,284.2,16.71764705882353,10.99700159669203,LAC,WR
C.Wentz,18.880000000000003,24.82,13.24,15.08,27.259999999999998,21.380000000000003,31.020000000000003,17.14,24.759999999999998,0.0,20.02,23.98,16.92,27.240000000000002,0.0,0.0,0.0,281.74,16.57294117647059,10.545629286999592,PHI,QB
D.Hopkins,11.75,11.15,11.3,16.85,27.2,8.45,0.0,36.400000000000006,20.6,18.1,17.6,19.5,16.0,35.9,12.5,12.25,4.0,279.54999999999995,16.44411764705882,9.75432407885314,HOU,WR
K.Cousins,10.6,11.86,26.799999999999997,20.6,0.0,27.8,23.92,10.52,8.280000000000001,27.58,25.98,16.08,12.64,8.84,15.84,22.76,7.52,277.62,16.33058823529412,8.454765276597152,WAS,QB
M.Stafford,27.08,13.18,16.46,10.059999999999999,15.16,14.88,0.0,18.020000000000003,22.439999999999998,21.66,18.26,14.0,11.879999999999999,15.24,17.380000000000003,10.82,27.119999999999997,273.64,16.09647058823529,6.52234710550626,DET,QB
P.Rivers,17.68,17.240000000000002,3.4800000000000004,19.880000000000003,20.82,14.32,15.32,10.48,0.0,15.3,18.04,28.86,17.560000000000002,20.759999999999998,7.08,15.6,27.98,270.40000000000003,15.905882352941179,7.530649921175073,LAC,QB
L.McCoy,20.9,10.3,13.9,13.8,14.9,0.0,27.200000000000003,29.3,2.5,9.0,25.599999999999998,11.9,12.200000000000001,21.6,25.700000000000003,19.700000000000003,5.2,263.7,15.511764705882353,8.773816327070932,BUF,RB
D.Brees,15.64,22.240000000000002,20.8,19.020000000000003,0.0,11.54,19.14,11.760000000000002,18.72,13.96,21.6,14.34,14.459999999999999,17.04,17.3,11.16,14.0,262.72,15.454117647058824,5.292299900354677,NO,QB
L.Fitzgerald,13.4,5.1,33.9,13.2,11.100000000000001,27.8,5.9,0.0,12.0,21.3,24.1,6.2,25.8,9.4,11.0,27.74,13.5,261.44,15.378823529411765,9.627233430711637,ARI,WR
B.Roethlisberger,15.719999999999999,17.520000000000003,12.0,10.540000000000001,2.58,11.88,16.66,14.48,0.0,17.939999999999998,29.28,30.54,18.0,28.740000000000002,18.240000000000002,16.94,0.0,261.06,15.356470588235295,9.07165705726941,PIT,QB
D.Prescott,17.12,15.92,22.92,22.58,29.740000000000002,0.0,29.96,7.32,26.66,13.240000000000002,-1.2000000000000002,3.16,14.88,26.580000000000002,13.68,5.380000000000001,12.76,260.7,15.335294117647058,10.073970243681895,DAL,QB
J.Landry,0.0,20.1,10.8,10.0,15.4,20.2,22.3,8.3,15.2,15.2,19.5,15.0,11.2,24.6,19.9,8.100000000000001,24.200000000000003,260.0,15.294117647058824,6.6179179683110405,MIA,WR
A.Smith,31.020000000000003,16.14,15.100000000000001,27.32,26.86,15.14,25.68,6.69,9.21,0.0,7.900000000000002,6.73,37.64,5.5600000000000005,9.27,17.46,0.0,257.72,15.160000000000002,11.11302614052536,KC,QB
J.Goff,16.439999999999998,11.06,23.58,18.1,7.719999999999999,9.86,18.700000000000003,0.0,28.439999999999998,26.5,9.8,19.86,15.0,14.16,10.8,25.44,0.0,255.46,15.027058823529412,8.42170392847098,LA,QB
Ju.Jones,10.600000000000001,15.8,16.1,6.0,0.0,13.2,24.9,10.4,17.8,11.7,12.100000000000001,50.8,4.4,14.8,8.4,21.9,13.0,251.9,14.81764705882353,11.083221287949053,ATL,WR
B.Bortles,10.3,9.82,27.560000000000002,11.4,2.7,13.540000000000001,16.3,0.0,16.36,16.32,8.56,22.6,25.06,18.62,25.04,22.380000000000003,3.2200000000000006,249.78,14.692941176470589,8.326586759220342,JAX,QB
A.Thielen,24.700000000000003,7.4,14.8,8.9,9.5,18.700000000000003,9.100000000000001,20.8,0.0,30.6,24.3,16.9,9.100000000000001,22.5,6.0,4.4,12.100000000000001,239.8,14.105882352941178,8.437970030480917,MIN,WR
C.Keenum,0.0,6.68,28.56,8.76,11.8,13.06,6.42,17.52,0.0,24.060000000000002,17.200000000000003,27.28,16.98,19.200000000000003,19.439999999999998,9.36,11.56,237.88000000000002,13.99294117647059,8.446161676100187,MIN,QB
C.Hyde,13.7,17.3,24.4,14.5,2.8000000000000003,24.5,12.8,8.7,21.5,12.4,0.0,13.8,9.600000000000001,13.8,5.9,16.3,22.0,234.0,13.764705882352942,7.039259653584902,SF,RB
T.Kelce,9.4,24.3,1.1,24.400000000000002,17.8,7.7,13.3,26.3,20.3,0.0,16.9,6.9,25.4,14.4,10.600000000000001,14.7,0.0,233.50000000000003,13.73529411764706,8.80063500382718,KC,TE
L.Fournette,21.4,14.1,20.0,24.5,31.400000000000002,21.8,0.0,0.0,0.0,6.6,13.8,7.2,16.9,21.900000000000002,0.0,16.0,17.6,233.2,13.717647058823529,9.79822913171799,JAX,RB
C.McCaffrey,11.5,8.4,20.700000000000003,8.9,14.799999999999999,22.400000000000002,11.6,10.200000000000001,20.400000000000002,20.0,0.0,11.7,15.9,8.3,25.6,7.800000000000001,10.4,228.6,13.447058823529412,6.590819149303335,CAR,RB
M.Ryan,17.939999999999998,14.88,13.66,8.48,0.0,11.92,17.02,15.86,18.42,14.6,17.0,16.78,7.02,6.84,15.38,14.219999999999999,18.08,228.09999999999997,13.417647058823528,5.057390049981024,ATL,QB
R.Gronkowski,5.300000000000001,23.6,22.9,12.0,0.0,26.3,8.100000000000001,16.7,0.0,11.4,6.6,25.200000000000003,23.700000000000003,0.0,27.8,17.7,0.0,227.3,13.370588235294118,10.328647340400046,NE,TE
A.Green,12.4,11.7,27.1,17.3,29.900000000000002,0.0,7.1000000000000005,11.7,1.6,22.5,15.0,11.600000000000001,26.7,9.4,5.0,14.1,3.7,226.8,13.341176470588236,8.968699656550651,CIN,WR
G.Tate,21.400000000000002,6.5,18.8,6.1000000000000005,9.8,22.6,0.0,13.6,18.3,21.700000000000003,6.2,6.0,14.9,22.5,6.300000000000001,4.4,25.4,224.50000000000003,13.205882352941178,8.025698613534782,DET,WR
D.Baldwin,10.0,10.4,26.5,8.5,7.7,0.0,24.200000000000003,11.4,23.8,14.5,12.0,4.0,13.4,16.8,1.6,13.5,25.0,223.3,13.13529411764706,8.034063509245383,SEA,WR
D.Adams,7.7,23.9,9.0,9.3,25.6,16.4,3.2,0.0,12.3,20.0,20.6,19.200000000000003,8.2,30.4,16.7,0.0,0.0,222.5,13.088235294117647,9.470340698262998,GB,WR
B.Cooks,11.8,6.300000000000001,32.1,7.200000000000001,13.5,15.3,16.5,7.6,0.0,13.4,26.9,21.400000000000002,4.2,4.800000000000001,16.0,4.5,19.7,221.2,13.011764705882353,8.643919998540968,NE,WR
A.Dalton,-3.0,9.46,16.28,28.34,13.32,0.0,10.4,18.72,5.340000000000001,14.6,18.560000000000002,19.16,19.259999999999998,7.64,0.5200000000000005,11.42,20.68,210.70000000000002,12.394117647058824,8.411996685406748,CIN,QB
M.Mariota,18.84,13.0,19.7,15.740000000000002,0.0,14.24,8.920000000000002,0.0,15.32,17.66,14.740000000000002,7.760000000000001,18.3,3.460000000000001,18.04,11.4,13.36,210.48000000000002,12.381176470588237,6.329263269086835,TEN,QB
D.Carr,18.68,21.200000000000003,5.22,9.719999999999999,0.0,6.84,30.18,12.52,13.7,0.0,13.48,15.82,15.38,10.44,17.54,5.9,9.82,206.44,12.143529411764705,7.630826414269027,OAK,QB
J.Brissett,2.04,8.84,27.759999999999998,9.58,17.96,13.98,11.1,15.92,19.52,15.58,0.0,7.4399999999999995,10.56,7.76,14.120000000000001,13.4,10.36,205.92000000000002,12.112941176470589,6.529636058680723,IND,QB
J.McCown,9.48,15.74,14.66,4.960000000000001,13.46,20.26,24.46,18.28,16.9,12.48,0.0,25.080000000000002,31.14,-1.46,0.0,0.0,0.0,205.44,12.08470588235294,10.188045763078817,NYJ,QB
E.Elliott,19.0,6.2,18.4,29.9,14.200000000000001,0.0,40.900000000000006,26.4,15.3,0.0,0.0,0.0,0.0,0.0,0.0,15.8,17.1,203.20000000000002,11.952941176470588,12.626169136314607,DAL,RB
Z.Ertz,17.3,14.700000000000001,17.5,13.1,18.1,15.8,19.9,13.4,0.0,0.0,2.8,26.3,4.4,0.0,17.6,17.1,4.4,202.4,11.905882352941177,8.203388826289665,PHI,TE
J.Winston,0.0,12.46,15.520000000000001,26.48,18.46,2.44,23.36,3.700000000000001,3.4800000000000004,0.0,0.0,0.0,18.6,14.4,25.76,13.28,23.72,201.66,11.86235294117647,9.9349757985436,TB,QB
