week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,kicking_xpmade,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_fgblk,defense_safe
5.0,TB,,J.Rodgers,,,,,,,,,,0.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,,
5.0,NE,DE,T.Flowers,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,RB,C.Sims III,,,,,,,,,,0.0,5.0,3.0,31.0,0.0,0.0,0.0,0.0,,,,,,,,,
5.0,TB,P,B.Anger,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,WR,B.Cooks,,,,,,,,,,0.0,5.0,,85.0,0.0,,0.0,,,,,,,,,,
5.0,NE,P,R.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,WR,B.Reedy,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
5.0,NE,DB,J.Bademosi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,CB,S.Gilmore,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,CB,M.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,DE,L.Guy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,RB,D.Martin,,,,,,,,,,0.0,1.0,74.0,8.0,0.0,1.0,0.0,0.0,,,,,,,,,
5.0,NE,DEF,A.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,SS,P.Chung,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,RB,M.Gillislee,,,,,,,,,,0.0,,52.0,,,0.0,,0.0,,,,,,,,,
5.0,TB,DT,G.McCoy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,CB,V.Hargreaves III,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,DT,C.McDonald,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,SS,C.Conte,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,DE,N.Spence,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,T,N.Solder,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,DE,W.Gholston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,DE,R.Ayers Jr.,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,K,S.Gostkowski,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,143.0,,
5.0,NE,OLB,K.Van Noy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,WR,D.Jackson,,,,,,,,,,0.0,5.0,,106.0,0.0,,0.0,,,,,,,,,,
5.0,TB,TE,C.Brate,,,,,,,,,,0.0,5.0,,68.0,1.0,,0.0,,,,,,,,,,
5.0,NE,RB,B.Bolden,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,DEF,I.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,LS,J.Cardona,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,DE,C.Marsh,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,TB,WR,O.Howard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,FS,D.Harmon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,OLB,D.Hightower,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NE,FS,D.McCourty,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
