week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_twoptm,rushing_tds,fumbles_lost,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_puntblk,defense_fgblk
6.0,CAR,QB,C.Newton,,,,,,,,,,0.0,,,71.0,0.0,1.0,,,,,,239.0,1.0,0.0,3.0,,
6.0,CAR,WR,K.Benjamin,,,,,,,,,,0.0,,,,,,,99.0,9.0,0.0,0.0,,,,,,
6.0,PHI,LB,N.Bradham,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,RB,K.Barner,,,,,,,,,,0.0,,,7.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,,,,,,
6.0,CAR,P,M.Palardy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,CB,C.Munnerlyn,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,TE,T.Burton,,,,,,,,,,0.0,,,,,,,9.0,1.0,0.0,0.0,,,,,,
6.0,CAR,CB,J.Bradberry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,WR,A.Jeffery,,,,,,,,,,0.0,,,,,,,71.0,4.0,0.0,0.0,,,,,,
6.0,CAR,SS,M.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,WR,M.Johnson,,,,,,,,,,0.0,,,,,,,16.0,1.0,0.0,0.0,,,,,,
6.0,CAR,MLB,L.Kuechly,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CAR,DT,V.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,PHI,K,J.Elliott,,,,,,,,,,0.0,98.0,2.0,,,,,,,,,,,,,,
6.0,PHI,DB,P.Robinson,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
