week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,fumbles_lost,passing_ints,rushing_twoptm,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,defense_safe,defense_xpblk,defense_puntblk
10.0,ARI,QB,D.Stanton,,,,,,,,,,0.0,,,273.0,1.0,1.0,0.0,0.0,,0.0,0.0,,,,,,,
10.0,ARI,DT,C.Peters,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,WR,T.Lockett,,,,,,,,,,0.0,,,,,,,,,,,16.0,1.0,0.0,0.0,,,
10.0,ARI,DB,T.Branch,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,OG,G.Ifedi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,DEF,B.Baker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,CB,J.Bethel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,MLB,B.Wagner,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,WR,L.Fitzgerald,,,,,,,,,,0.0,,,,,,,,,,,113.0,10.0,0.0,0.0,,,
10.0,ARI,WR,J.Brown,,,,,,,,,,0.0,,,,,,,,,,,27.0,2.0,0.0,0.0,,,
10.0,SEA,CB,J.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,OT,E.Watford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,OLB,K.Wright,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,TE,T.Niklas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,RB,A.Ellington,,,,,,,,,,0.0,,,,4.0,,,1.0,,,0.0,26.0,3.0,0.0,0.0,,,
10.0,ARI,P,A.Lee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,LB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,OLB,D.Bucannon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,WR,J.McKissic,,,,,,,,,,0.0,,,,26.0,,,0.0,,,0.0,20.0,4.0,0.0,0.0,,,
10.0,ARI,SS,A.Bethea,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,WR,D.Baldwin,,,,,,,,,,0.0,,,,,,,,,,,95.0,5.0,0.0,0.0,,,
10.0,ARI,DE,F.Rucker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,K,B.Walsh,,,,,,,,,,0.0,76.0,2.0,,,,,,,,,,,,,,,
10.0,SEA,DEF,N.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,TE,J.Gresham,,,,,,,,,,0.0,,,,,,,,,,,64.0,5.0,1.0,0.0,,,
10.0,SEA,DE,M.Bennett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,WR,S.Griffin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,CB,R.Sherman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,RB,C.Prosise,,,,,,,,,,0.0,,,,3.0,,,0.0,,,0.0,,,,,,,
10.0,ARI,FS,T.Mathieu,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,TE,L.Willson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,LB,T.Garvin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,DEF,R. Ford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,WR,A.Darboh,,,,,,,,,,0.0,,,,,,,,,,,3.0,1.0,0.0,0.0,,,
10.0,SEA,ILB,M.Wilhoite,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,DT,G.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,WR,J.Nelson,,,,,,,,,,0.0,,,,,,,,,,,17.0,1.0,0.0,0.0,,,
10.0,ARI,NT,J.Mauro,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,TE,N.Vannett,,,,,,,,,,0.0,,,,,,,,,,,22.0,2.0,0.0,0.0,,,
10.0,SEA,WR,P.Richardson,,,,,,,,,,0.0,,,,,,,,,,,43.0,1.0,0.0,0.0,,,
10.0,SEA,WR,E.Pocic,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,CB,J.Lane,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,
10.0,ARI,,I.Momah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,DEF,H.Reddick,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,LB,K.Martin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,,D.Jordan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,T,J.Veldheer,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,DE,F.Clark,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,G,M.Tobin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,G,O.Aboushi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,WR,Ja.Brown,,,,,,,,,,0.0,,,,,,,,,,,13.0,2.0,0.0,0.0,,,
10.0,ARI,OLB,J.Bynes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,CB,P.Peterson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,ARI,NT,R.Gunter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,LB,D.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,DE,D.Freeney,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,SEA,FS,B.McDougald,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,K,W.Lutz,,,,,,,,,,0.0,76.0,5.0,,,,,,,,,,,,,,,
10.0,BUF,WR,B.Tate,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,FS,V.Bell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,ILB,M.Te'o,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,RB,L.McCoy,,,,,,,,,,0.0,,,,49.0,,,0.0,0.0,,0.0,11.0,3.0,0.0,0.0,,,
10.0,BUF,WR,K.Benjamin,,,,,,,,,,0.0,,,,,,,,,,,42.0,3.0,0.0,0.0,,,
10.0,BUF,QB,T.Taylor,,,,,,,,,,0.0,,,56.0,27.0,0.0,0.0,0.0,,1.0,0.0,,,,,,,
10.0,NO,DEF,M.Lattimore,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,DB,R.Bush,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,FB,M.Tolbert,,,,,,,,,,0.0,,,,-2.0,,,0.0,,,0.0,17.0,2.0,0.0,0.0,,,
10.0,NO,DEF,M.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,BUF,K,S.Hauschka,,,,,,,,,,0.0,37.0,1.0,,,,,,,,,,,,,,,
10.0,NO,QB,D.Brees,,,,,,,,,,0.0,,,184.0,6.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,
10.0,BUF,FS,J.Poyer,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,NO,WR,M.Thomas,,,,,,,,,,0.0,,,,,,,,,,,117.0,9.0,0.0,0.0,,,
10.0,NO,RB,A.Kamara,,,,,,,,,,0.0,,,,106.0,,,1.0,,,0.0,32.0,5.0,0.0,0.0,,,
