week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,rushing_tds,receiving_rec,rushing_yds,receiving_yds,receiving_tds,receiving_twoptm,rushing_twoptm,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_puntblk,defense_safe,defense_fgblk
9.0,BUF,RB,L.McCoy,,,,,,,,,,0.0,,0.0,,25.0,,,,0.0,0.0,,,,,,,,
9.0,NYJ,WR,J.Kerley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,P,C.Schmidt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,DT,A.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,QB,J.McCown,,,,,,,,,,0.0,,1.0,,13.0,,,,0.0,,140.0,1.0,0.0,0.0,,,,
9.0,NYJ,WR,J.Kearse,,,,,,,,,,0.0,,,2.0,,38.0,0.0,0.0,,,,,,,,,,
9.0,BUF,LB,R.Humber,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,CB,S.Wright,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,WR,R.Anderson,,,,,,,,,,0.0,,,4.0,,48.0,1.0,0.0,,,,,,,,,,
9.0,BUF,DEF,E.Yarbrough,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,LB,L.Alexander,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,K,C.Catanzaro,,,,,,,,,,0.0,4.0,,,,,,,,,,,,,77.0,,,
9.0,NYJ,DEF,M.Maye,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,WR,J.Matthews,,,,,,,,,,0.0,,,6.0,,46.0,0.0,0.0,,1.0,,,,,,,,
9.0,NYJ,DT,L.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,FB,M.Tolbert,,,,,,,,,,0.0,,0.0,3.0,3.0,13.0,0.0,0.0,0.0,,,,,,,,,
9.0,NYJ,DB,B.Skrine,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,DEF,T.White,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,G,J.Carpenter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,,L.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,LB,J.Martin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,OT,J.Mills,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,NYJ,DT,S.McLendon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,BUF,WR,Z.Jones,,,,,,,,,,0.0,,,6.0,,53.0,1.0,0.0,,,,,,,,,,
9.0,NYJ,OLB,D.Lee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
