week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_tds,receiving_rec,receiving_yds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,kicking_xpmade,fumbles_lost,defense_puntblk
14.0,NYJ,DEFENSE,NYJ-DEFENSE,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,
14.0,LAC,DEFENSE,LAC-DEFENSE,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.5,0.0,,,,,,,,,,,,,,,,
14.0,WAS,DEFENSE,WAS-DEFENSE,0.0,0.0,0.0,30.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,
14.0,LA,DEFENSE,LA-DEFENSE,0.0,0.0,0.0,43.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,
14.0,PHI,DEFENSE,PHI-DEFENSE,2.0,0.0,0.0,35.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,
14.0,NYG,DEFENSE,NYG-DEFENSE,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
14.0,DAL,DEFENSE,DAL-DEFENSE,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,
14.0,PIT,DEFENSE,PIT-DEFENSE,0.0,0.0,0.0,38.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,
14.0,BAL,DEFENSE,BAL-DEFENSE,0.0,0.0,0.0,39.0,0.0,0.0,0.0,2.5,0.0,,,,,,,,,,,,,,,,
14.0,MIA,DEFENSE,MIA-DEFENSE,0.0,0.0,0.0,20.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,
14.0,NE,DEFENSE,NE-DEFENSE,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,
14.0,NO,WR,T.Lewis,,,,,,,,,,0.0,1.0,2.0,30.0,0.0,,,,,,,,,,,
14.0,ATL,DEF,D.Kazee,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,P,M.Bosher,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,OLB,D.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,FS,R.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,RB,M.Ingram,,,,,,,,,,0.0,0.0,4.0,43.0,0.0,49.0,0.0,0.0,,,,,,,,
14.0,NO,WR,A.Kamara,,,,,,,,,,0.0,0.0,3.0,25.0,0.0,2.0,0.0,0.0,,,,,,,,
14.0,NO,QB,D.Brees,,,,,,,,,,0.0,,,,,2.0,0.0,0.0,271.0,2.0,0.0,1.0,,,,
14.0,ATL,SS,K.Neal,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,OLB,D.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,WR,M.Thomas,,,,,,,,,,0.0,1.0,10.0,117.0,0.0,,,,,,,,,,,
14.0,ATL,CB,R.Alford,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,SS,K.Ishmael,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,TE,J.Hill,,,,,,,,,,0.0,0.0,2.0,14.0,0.0,,,,,,,,,,,
14.0,ATL,CB,D.Trufant,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,K,W.Lutz,,,,,,,,,,0.0,,,,,,,,,,,,34.0,2.0,,
14.0,ATL,RB,D.Freeman,,,,,,,,,,0.0,,,,,91.0,1.0,0.0,,,,,,,0.0,
14.0,NO,SS,K.Vaccaro,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,DEF,M.Lattimore,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,DT,D.Onyemata,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,CB,K.Crawley,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,ILB,M.Te'o,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,WR,Ju.Jones,,,,,,,,,,0.0,0.0,5.0,98.0,0.0,,,,,,,,,,,
14.0,NO,DEF,M.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,QB,M.Ryan,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,221.0,1.0,0.0,3.0,,,,
14.0,ATL,RB,T.Coleman,,,,,,,,,,0.0,,,,,32.0,0.0,0.0,,,,,,,,
14.0,NO,DE,J.Hughes,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,DT,S.Rankins,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,K,M.Bryant,,,,,,,,,,0.0,,,,,,,,,,,,80.0,2.0,,
14.0,NO,FB,Z.Line,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,DEF,D.Riley,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,DT,A.Rubin,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,WR,B.Coleman,,,,,,,,,,0.0,0.0,2.0,32.0,0.0,,,,,,,,,,,
14.0,ATL,DE,B.Reed,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,P,T.Morstead,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,DEF,A.Maulet,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,WR,A.Roberts,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,DE,C.Jordan,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,LB,C.Robertson,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,TE,A.Hooper,,,,,,,,,,0.0,0.0,2.0,23.0,0.0,,,,,,,,,,,
14.0,ATL,DE,D.Shelby,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,DB,B.Poole,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,DT,G.Jarrett,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,WR,M.Sanu,,,,,,,,,,0.0,1.0,6.0,83.0,0.0,,,,,,,,,,,
14.0,ATL,T,R.Schraeder,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,DEF,T.Hendrickson,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,WR,M.Hall,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,TE,L.Toilolo,,,,,,,,,,0.0,0.0,1.0,7.0,0.0,,,,,,,,,,,
14.0,ATL,OT,T.Sambrailo,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,WR,W.Snead,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
14.0,NO,CB,P.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,WR,T.Gabriel,,,,,,,,,,0.0,0.0,1.0,10.0,0.0,9.0,0.0,0.0,,,,,,,,
14.0,NO,,J.LeRibeus,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,DEF,T.Edmunds,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,CB,C.Banjo,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,NT,D.Poe,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,FS,V.Bell,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,OLB,M.Mauti,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,LB,V.Beasley,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,WR,T.Ginn,,,,,,,,,,0.0,0.0,2.0,10.0,0.0,-3.0,0.0,0.0,,,,,,,,
14.0,NO,TE,M.Hoomanawanui,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,LB,L.Reynolds,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,NO,OLB,H.Kikaha,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,DT,C.Upshaw,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,C,B.Garland,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,,D.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,DE,A.Clayborn,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,ATL,OG,W.Schweitzer,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,
14.0,BUF,WR,B.Tate,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DEF,J.Grace,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,P,R.Sanchez,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,RB,L.McCoy,,,,,,,,,,0.0,,,,,156.0,1.0,0.0,,,,,,,,
14.0,IND,FS,T.Green,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,WR,K.Benjamin,,,,,,,,,,0.0,1.0,3.0,38.0,0.0,,,,,,,,,,,
14.0,BUF,QB,N.Peterman,,,,,,,,,,0.0,,,,,10.0,0.0,0.0,57.0,1.0,0.0,0.0,,,0.0,
14.0,IND,DB,M.Farley,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,ILB,A.Morrison,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,DE,M.Hunt,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,LB,J.Bostic,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,IND,NT,A.Woods,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,RB,T.Cadet,,,,,,,,,,0.0,,,,,2.0,0.0,0.0,,,,,,,,
14.0,IND,DEF,N.Hairston,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,QB,J.Webb,,,,,,,,,,0.0,,,,,27.0,0.0,0.0,35.0,0.0,0.0,1.0,,,,
14.0,BUF,TE,C.Clay,,,,,,,,,,0.0,0.0,2.0,11.0,0.0,,,,,,,,,,,
14.0,IND,RB,F.Gore,,,,,,,,,,0.0,0.0,1.0,10.0,0.0,130.0,0.0,0.0,,,,,,,,
14.0,BUF,FS,J.Poyer,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,DT,K.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,
14.0,BUF,CB,E.Gaines,,,,,,,,,,0.0,,,,,,,,,,,,,,,
