week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,kicking_xpmade,kicking_fgm_yds,defense_fgblk,defense_xpblk,defense_puntblk,fumbles_rec_tds
15.0,DEN,RB,C.Anderson,,,,,,,,,,0.0,,,,,,,,,158.0,0.0,0.0,,,,,,,
15.0,IND,DE,B.Mingo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,DE,M.Hunt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,DEF,K.Moore II,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,DEF,A.Traylor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,RB,F.Gore,,,,,,,,,,0.0,,,,,3.0,37.0,0.0,0.0,31.0,0.0,0.0,,,,,,,
15.0,DEN,MLB,T.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,TE,B.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,QB,J.Brissett,,,,,,,,,,0.0,158.0,0.0,0.0,0.0,,,,,18.0,1.0,0.0,,,,,,,
15.0,DEN,OLB,V.Miller,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,FS,D.Stewart,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,CB,C.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,WR,T.Hilton,,,,,,,,,,0.0,,,,,5.0,41.0,0.0,0.0,,,,0.0,,,,,,
15.0,IND,RB,M.Mack,,,,,,,,,,0.0,,,,,,,,,14.0,0.0,0.0,,,,,,,
15.0,DEN,,S.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,DT,A.Gotsis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,ILB,B.Marshall,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,TE,J.Doyle,,,,,,,,,,0.0,,,,,7.0,47.0,0.0,0.0,,,,,,,,,,
15.0,IND,K,A.Vinatieri,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,84.0,,,,
15.0,IND,ILB,A.Morrison,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,NT,A.Woods,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,FS,T.Green,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,DT,J.Hankins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,RB,D.Booker,,,,,,,,,,0.0,,,,,1.0,10.0,0.0,0.0,39.0,0.0,0.0,,,,,,,
15.0,IND,DB,M.Farley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,P,R.Dixon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,K,B.McManus,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,40.0,,,,
15.0,IND,WR,C.Rogers,,,,,,,,,,0.0,,,,,,,,,7.0,0.0,0.0,,,,,,,
15.0,DEN,DT,D.Peko,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,WR,C.Milton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,WR,J.Taylor,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,
15.0,IND,DEF,G.Stewart,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,QB,B.Osweiler,,,,,,,,,,0.0,194.0,1.0,0.0,2.0,,,,,17.0,1.0,0.0,,,,,,,
15.0,DEN,WR,C.Latimer,,,,,,,,,,0.0,,,,,3.0,60.0,1.0,1.0,,,,,,,,,,
15.0,IND,TE,R.Travis,,,,,,,,,,0.0,,,,,2.0,33.0,0.0,0.0,,,,,,,,,,
15.0,DEN,DB,W.Parks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,CB,A.Talib,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,LB,S.Ray,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,CB,D.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,IND,DE,J.Sheard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DEN,FB,A.Janovich,,,,,,,,,,0.0,,,,,,,,,-1.0,0.0,0.0,,,,,,,
15.0,IND,CB,D.White,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
