week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,rushing_yds,rushing_tds,rushing_twoptm,receiving_tds,receiving_rec,receiving_yds,receiving_twoptm,kicking_xpmade,passing_yds,passing_twoptm,passing_ints,passing_tds,fumbles_lost,kicking_fgm_yds,defense_puntblk,defense_safe,defense_fgblk
1.0,KC,FS,E.Berry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,WR,B.Cooks,,,,,,,,,,0.0,,,,0.0,3.0,88.0,0.0,,,,,,,,,,
1.0,KC,CB,P.Gaines,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,OLB,D.Ford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,WR,D.Amendola,,,,,,,,,,0.0,,,,0.0,6.0,100.0,0.0,,,,,,0.0,,,,
1.0,KC,,T.Mitchell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,TE,R.Gronkowski,,,,,,,,,,0.0,,,,0.0,2.0,33.0,0.0,,,,,,,,,,
1.0,NE,RB,M.Gillislee,,,,,,,,,,0.0,45.0,3.0,0.0,,,,,,,,,,,,,,
1.0,NE,K,S.Gostkowski,,,,,,,,,,0.0,,,,,,,,3.0,,,,,,57.0,,,
1.0,NE,SS,J.Richards,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,RB,K.Hunt,,,,,,,,,,0.0,148.0,1.0,0.0,2.0,5.0,98.0,0.0,,,,,,1.0,,,,
1.0,KC,WR,C.Conley,,,,,,,,,,0.0,,,,0.0,2.0,43.0,0.0,,,,,,,,,,
1.0,NE,FS,D.McCourty,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,
1.0,KC,NT,B.Logan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,DE,A.Bailey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,CB,S.Gilmore,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,TE,T.Kelce,,,,,,,,,,0.0,4.0,0.0,0.0,0.0,5.0,40.0,0.0,,,,,,,,,,
1.0,NE,DT,M.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,WR,T.Hill,,,,,,,,,,0.0,5.0,0.0,0.0,1.0,7.0,133.0,0.0,,,,,,0.0,,,,
1.0,KC,QB,A.Smith,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,368.0,0.0,0.0,4.0,,,,,
1.0,NE,CB,M.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,WR,A.Wilson,,,,,,,,,,0.0,,,,0.0,5.0,37.0,0.0,,,,,,,,,,
1.0,NE,SS,P.Chung,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,OLB,K.Van Noy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,WR,C.Hogan,,,,,,,,,,0.0,17.0,0.0,0.0,0.0,1.0,8.0,0.0,,,,,,,,,,
1.0,KC,DB,D.Sorensen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,WR,D.Thomas,,,,,,,,,,0.0,4.0,0.0,0.0,0.0,1.0,-2.0,0.0,,,,,,,,,,
1.0,NE,DB,B.King,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,TE,R.Travis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,DE,T.Flowers,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,P,D.Colquitt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,OLB,J.Houston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,CB,M.Peters,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,DT,R.Miller,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,DT,A.Branch,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,DE,L.Guy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,OLB,D.Hightower,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,DEF,D.Wise,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,OLB,F.Zombo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,P,R.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,T,E.Fisher,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,DE,C.Marsh,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,DEF,A.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,CB,E.Rowe,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,RB,C.West,,,,,,,,,,0.0,21.0,1.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,,,
1.0,KC,OT,B.Witzmann,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,C,D.Andrews,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,
1.0,NE,ILB,D.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,CB,J.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,RB,B.Bolden,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,DB,J.Bademosi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,CB,E.Murray,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,WR,P.Dorsett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NE,LS,J.Cardona,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,KC,DEF,U.Eligwe,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,K,C.Catanzaro,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,100.0,,,
1.0,BUF,WR,Z.Jones,,,,,,,,,,0.0,,,,0.0,1.0,21.0,0.0,,,,,,,,,,
1.0,BUF,QB,T.Taylor,,,,,,,,,,0.0,38.0,0.0,0.0,,,,,,224.0,0.0,1.0,2.0,,,,,
1.0,NYJ,DEF,M.Maye,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,RB,L.McCoy,,,,,,,,,,0.0,110.0,0.0,0.0,0.0,5.0,49.0,0.0,,,,,,,,,,
1.0,NYJ,OLB,D.Lee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,LB,D.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,TE,C.Clay,,,,,,,,,,0.0,,,,1.0,4.0,53.0,0.0,,,,,,,,,,
1.0,BUF,OG,R.Incognito,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,NYJ,DE,K.Ealy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,TE,N.O'Leary,,,,,,,,,,0.0,,,,0.0,1.0,22.0,0.0,,,,,,,,,,
1.0,NYJ,DEF,Ja.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
1.0,BUF,FB,M.Tolbert,,,,,,,,,,0.0,42.0,1.0,0.0,0.0,1.0,12.0,0.0,,,,,,,,,,
1.0,NYJ,DT,S.McLendon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
