week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,defense_fgblk,fumbles_rec_tds,defense_xpblk,defense_puntblk,defense_safe
8.0,BAL,WR,J.Maclin,,,,,,,,,,0.0,,,,,,,3.0,53.0,1.0,0.0,,,,,,,,,
8.0,BAL,QB,J.Flacco,,,,,,,,,,0.0,,,101.0,0.0,0.0,1.0,,,,,9.0,0.0,0.0,,,,,,
8.0,MIA,MLB,R.Maualuga,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,ILB,L.Timmons,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,DEF,C.Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,,V.Mayle,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,P,S.Koch,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,WR,J.Grant,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,NT,B.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,OLB,T.Suggs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,WR,L.Carroo,,,,,,,,,,0.0,,,,,,,6.0,48.0,0.0,0.0,,,,,,,,,
8.0,BAL,,G.Whalen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,FS,M.Thomas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,DT,N.Suh,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,TE,B.Watson,,,,,,,,,,0.0,,,,,,,2.0,6.0,1.0,0.0,,,,,,,,,
8.0,MIA,CB,X.Howard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,WR,K.Stills,,,,,,,,,,0.0,,,,,,,5.0,65.0,0.0,0.0,,,,,,,,,
8.0,MIA,DE,W.Hayes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,LB,K.Alonso,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,WR,P.Ricard,,,,,,,,,,0.0,,,,,,,1.0,1.0,0.0,0.0,,,,,,,,,
8.0,BAL,DEF,P.Onwuasor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,DEF,C.Wormley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,DEF,M.Humphrey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,LB,M.Judon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,CB,A.Levine Sr.,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,DEF,C.Tankersley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,DE,T.Fede,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,DE,C.Wake,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,SS,R.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,RB,J.Allen,,,,,,,,,,0.0,,,,,,,1.0,2.0,0.0,0.0,55.0,0.0,0.0,,,,,,
8.0,BAL,DE,C.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,RB,D.Williams,,,,,,,,,,0.0,,,,,,,1.0,-1.0,0.0,0.0,,,,,,,,,
8.0,BAL,TE,N.Boyle,,,,,,,,,,0.0,,,,,,,4.0,29.0,0.0,0.0,,,,,,,,,
8.0,MIA,DT,J.Phillips,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,OT,R.Stanley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,MIA,RB,K.Drake,,,,,,,,,,0.0,,,,,,,,,,,22.0,0.0,0.0,,,,,,
8.0,BAL,DEF,T.Bowser,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8.0,BAL,DT,M.Pierce,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
