week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_tds,receiving_rec,rushing_yds,receiving_yds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,fumbles_lost,defense_safe,defense_xpblk,fumbles_rec_tds,defense_fgblk
17.0,PHI,DEFENSE,PHI-DEFENSE,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,DAL,DEFENSE,DAL-DEFENSE,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,PIT,DEFENSE,PIT-DEFENSE,1.0,0.0,0.0,24.0,1.0,0.0,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,CLE,DEFENSE,CLE-DEFENSE,1.0,0.0,0.0,28.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,TB,DEFENSE,TB-DEFENSE,1.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,NO,DEFENSE,NO-DEFENSE,0.0,0.0,0.0,31.0,1.0,1.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,TEN,DEFENSE,TEN-DEFENSE,2.0,0.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,JAX,DEFENSE,JAX-DEFENSE,1.0,0.0,0.0,15.0,0.0,1.0,0.0,2.5,0.0,,,,,,,,,,,,,,,,,,,
17.0,DEN,DEFENSE,DEN-DEFENSE,1.0,0.0,0.0,27.0,0.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,KC,DEFENSE,KC-DEFENSE,1.0,0.0,0.0,24.0,0.0,1.0,2.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,LAC,DEFENSE,LAC-DEFENSE,1.0,0.0,0.0,10.0,0.0,0.0,1.0,1.5,0.0,,,,,,,,,,,,,,,,,,,
17.0,OAK,DEFENSE,OAK-DEFENSE,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,
17.0,LA,DEFENSE,LA-DEFENSE,1.0,0.0,0.0,34.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,SF,DEFENSE,SF-DEFENSE,2.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,SEA,DEFENSE,SEA-DEFENSE,0.0,0.0,0.0,26.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
17.0,ARI,DEFENSE,ARI-DEFENSE,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
