week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,kicking_fgm_yds,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,fumbles_lost,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,passing_ints,rushing_twoptm,defense_xpblk,defense_fgblk,fumbles_rec_tds
12.0,DET,RB,A.Abdullah,,,,,,,,,,0.0,,,29.0,3.0,0.0,0.0,,,14.0,,,0.0,,0.0,,,
12.0,MIN,MLB,E.Kendricks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,WR,M.Jones,,,,,,,,,,0.0,,,109.0,6.0,2.0,0.0,,,,,,,,,,,
12.0,MIN,CB,X.Rhodes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,WR,J.Rudock,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,WR,J.Reeves-Maybin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,CB,M.Sherels,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,P,S.Martin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,DEF,J.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,RB,L.Murray,,,,,,,,,,0.0,,,,,,,,,84.0,,,1.0,,0.0,,,
12.0,MIN,WR,S.Diggs,,,,,,,,,,0.0,,,66.0,5.0,0.0,0.0,,,9.0,,,0.0,,0.0,,,
12.0,MIN,QB,C.Keenum,,,,,,,,,,0.0,,,,,,,,282.0,20.0,2.0,0.0,1.0,0.0,0.0,,,
12.0,DET,OLB,T.Whitehead,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,DT,A.Spence,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,WR,A.Thielen,,,,,,,,,,0.0,,,89.0,8.0,0.0,0.0,,,,,,,,,,,
12.0,DET,CB,D.Slay,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DET,MLB,P.Worrilow,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,MIN,TE,K.Rudolph,,,,,,,,,,0.0,,,63.0,4.0,2.0,0.0,,,,,,,,,,,
12.0,DET,DEF,T.Tabor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
